Year,Commodity,Data Item,Domain,Domain Category,Value
2003,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (LINURON = 35506)",93000
1998,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (LINURON = 35506)",2000
1995,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (LINURON = 35506)",120000
1992,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (LINURON = 35506)",96000
1991,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (LINURON = 35506)",93000
2001,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MCPA = 30501)",43000
2018,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MCPA, 2-ETHYLHEXYL = 30564)",NA
2010,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MCPA, 2-ETHYLHEXYL = 30564)",NA
2021,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MCPA, SODIUM SALT = 30502)",NA
2010,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MCPA, SODIUM SALT = 30502)",173000
2005,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MCPA, SODIUM SALT = 30502)",258000
2021,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MCPP-P, DMA SALT = 31520)",NA
2018,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MCPP-P, DMA SALT = 31520)",NA
2021,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MESOTRIONE = 122990)",5343000
2018,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MESOTRIONE = 122990)",4177000
2016,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MESOTRIONE = 122990)",2822000
2014,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MESOTRIONE = 122990)",2529000
2010,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MESOTRIONE = 122990)",1693000
2005,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MESOTRIONE = 122990)",1853000
2003,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MESOTRIONE = 122990)",976000
2002,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MESOTRIONE = 122990)",367000
2001,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MESOTRIONE = 122990)",7000
2018,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METHANONE = 692)",NA
2021,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",7254000
2018,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",1817000
2016,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",913000
2014,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",935000
2010,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",546000
2005,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",1933000
2003,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",6384000
2002,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",6589000
2001,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",7449000
2000,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",14232000
1999,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",29554000
1998,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",43479000
1997,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",43772000
1996,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",41135000
1995,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",35075000
1994,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",39213000
1993,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",39026000
1992,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",41327000
1991,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",38792000
1990,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",35938000
2021,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",208000
2018,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",159000
2016,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",NA
2014,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",NA
2010,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",NA
2005,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",30000
2003,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",67000
2002,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",39000
2001,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",117000
2000,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",190000
1999,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",54000
1998,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",95000
1997,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",30000
1996,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",38000
1995,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",85000
1994,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",41000
1993,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",46000
2014,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METSULFURON-METHYL = 122010)",NA
2021,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",NA
2018,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",19000
2016,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",6000
2014,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",12000
2010,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",29000
2005,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",163000
2003,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",166000
2002,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",131000
2001,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",162000
2000,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",199000
1999,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",150000
1998,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",147000
1997,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",160000
1996,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",245000
1995,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",224000
1994,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",249000
1993,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",165000
1992,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",140000
1991,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",76000
2021,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ORYZALIN = 104201)",NA
2018,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ORYZALIN = 104201)",NA
2016,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)",NA
2021,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",898000
2018,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",642000
2016,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",453000
2014,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",227000
2010,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",468000
2005,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",394000
2003,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",381000
2002,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",136000
2001,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",511000
2000,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",570000
1999,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",369000
1998,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",535000
1997,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",381000
1996,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",637000
1995,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",447000
1994,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",400000
1993,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",630000
1992,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",423000
1991,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",201000
2021,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",1163000
2018,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",342000
2016,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",575000
2014,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",553000
2010,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",1385000
2005,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",1309000
2003,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",1727000
2002,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",777000
2001,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",2626000
2000,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",2360000
1999,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",776000
1998,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",1611000
1997,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",1764000
1996,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",2631000
1995,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",2628000
1994,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",1806000
1993,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",2825000
1992,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",3091000
1991,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",2745000
2014,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PICLORAM, K SALT = 5104)",NA
2018,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",4000
2016,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",NA
2014,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",5000
2010,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",5000
2005,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",38000
2003,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",83000
2002,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",52000
2001,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",100000
2000,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",140000
1999,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",100000
1998,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",85000
1997,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",82000
1996,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",106000
1995,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",42000
1994,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",47000
1993,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",40000
1992,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",30000
1991,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",29000
2018,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PRODIAMINE = 110201)",NA
2021,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROMETRYN = 80805)",NA
2018,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROMETRYN = 80805)",NA
1996,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROPACHLOR = 19101)",337000
1994,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROPACHLOR = 19101)",1184000
1993,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROPACHLOR = 19101)",1260000
1992,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROPACHLOR = 19101)",1506000
1991,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROPACHLOR = 19101)",1456000
2010,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROPANOIC ACID = 129046)",NA
2016,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROPOXYCARBAZONE-SOD = 122019)",NA
2021,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROSULFURON = 129031)",NA
2018,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROSULFURON = 129031)",NA
2016,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROSULFURON = 129031)",NA
2014,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROSULFURON = 129031)",1000
2010,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROSULFURON = 129031)",1000
2005,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROSULFURON = 129031)",8000
2003,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROSULFURON = 129031)",17000
2002,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROSULFURON = 129031)",10000
2001,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROSULFURON = 129031)",18000
2000,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROSULFURON = 129031)",25000
1999,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROSULFURON = 129031)",21000
1998,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROSULFURON = 129031)",28000
1997,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROSULFURON = 129031)",50000
1996,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PROSULFURON = 129031)",59000
2018,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYRAFLUFEN-ETHYL = 30090)",NA
2014,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYRAFLUFEN-ETHYL = 30090)",NA
2001,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYRIDATE = 128834)",101000
2000,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYRIDATE = 128834)",2268000
1999,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYRIDATE = 128834)",2150000
1998,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYRIDATE = 128834)",140000
2021,CORN,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYROXASULFONE = 90099)",120000
